config,streams,trial,duration_s,bytes,bits_per_second,retransmits,cpu_sender_pct,cpu_receiver_pct
wg_baseline,8,1,10.00,10927865856,8741001639,8171,14.42,173.85
wg_baseline,8,2,10.00,10949230592,8758735451,8631,11.60,172.54
wg_baseline,8,3,10.00,10949230592,8758153953,9516,8.30,165.49
wg_baseline,8,4,10.00,10928783360,8741652500,8350,11.31,172.53
wg_baseline,8,5,10.00,11019091968,8814233495,11212,7.93,155.10
wg_baseline,8,6,10.00,11084365824,8866193762,2665,8.07,150.43
wg_baseline,8,7,10.00,11056971776,8844687645,6093,8.92,152.23
wg_baseline,8,8,10.00,10993270784,8793271257,9608,11.19,168.46
wg_baseline,8,9,10.00,10958143488,8765553209,10010,17.66,172.30
wg_baseline,8,10,10.00,10974658560,8778971856,10454,11.26,165.38
wg_nftables,8,1,10.00,9682157568,7744603861,5895,9.94,72.32
wg_nftables,8,2,10.00,9694085120,7754131340,5458,15.86,73.24
wg_nftables,8,3,10.00,9743499264,7794030920,5716,17.98,73.42
wg_nftables,8,4,10.00,9721741312,7776287262,5058,13.32,72.90
wg_nftables,8,5,10.00,9738256384,7789476412,5851,7.44,72.20
wg_nftables,8,6,10.00,9737207808,7788661814,5253,7.61,72.72
wg_nftables,8,7,10.00,9729212416,7782288973,5700,7.85,72.93
wg_nftables,8,8,10.00,9735634944,7787363991,5705,9.98,72.95
wg_nftables,8,9,10.00,9735241728,7787013650,5707,10.34,72.56
wg_nftables,8,10,10.00,9739960320,7791093316,5831,16.02,72.24
wg_tag_only,8,1,10.00,10935074816,8746726852,7224,8.50,175.28
wg_tag_only,8,2,10.00,11087380480,8868635282,1619,7.75,140.47
wg_tag_only,8,3,10.00,10942676992,8752777911,9103,13.98,171.43
wg_tag_only,8,4,10.00,10936254464,8748413053,8403,12.70,177.17
wg_tag_only,8,5,10.00,10934419456,8746647780,9906,14.19,171.48
wg_tag_only,8,6,10.00,10959323136,8766135699,7393,14.04,176.05
wg_tag_only,8,7,10.00,10942676992,8752999327,9677,17.14,171.81
wg_tag_only,8,8,10.00,11033116672,8825197799,5546,17.18,159.29
wg_tag_only,8,9,10.00,11011227648,8807578190,9037,11.02,159.07
wg_tag_only,8,10,10.00,10979508224,8782240941,9559,15.02,161.74
wg_enforce_nocache,8,1,10.00,10961813504,8768118926,9588,14.15,157.81
wg_enforce_nocache,8,2,10.00,10941366272,8751793376,9181,14.44,168.31
wg_enforce_nocache,8,3,10.00,10958536704,8766243778,8890,9.73,163.01
wg_enforce_nocache,8,4,10.00,10940186624,8750862922,8633,14.35,163.54
wg_enforce_nocache,8,5,10.00,10981605376,8783953532,9331,8.41,159.32
wg_enforce_nocache,8,6,10.00,10924064768,8738012764,7677,14.52,170.95
wg_enforce_nocache,8,7,10.00,10959323136,8766126058,9878,11.13,160.50
wg_enforce_nocache,8,8,10.00,10946609152,8756037835,7552,8.37,174.05
wg_enforce_nocache,8,9,10.00,10929438720,8742264115,8445,13.47,165.49
wg_enforce_nocache,8,10,10.00,10939924480,8750666362,8942,14.19,164.28
wg_enforce_cache,8,1,10.00,10929045504,8741856938,8169,8.31,161.22
wg_enforce_cache,8,2,10.00,10945822720,8755294101,8754,14.57,168.37
wg_enforce_cache,8,3,10.00,10970202112,8774801595,7519,11.00,155.74
wg_enforce_cache,8,4,10.00,10960896000,8767425358,8524,8.02,161.45
wg_enforce_cache,8,5,10.00,10915938304,8731446165,8114,20.32,168.11
wg_enforce_cache,8,6,10.00,10942676992,8752889930,8042,11.23,167.45
wg_enforce_cache,8,7,10.00,10986323968,8787721683,7462,14.25,155.51
wg_enforce_cache,8,8,10.00,10979377152,8782216883,11889,12.68,157.19
wg_enforce_cache,8,9,10.00,10948575232,8757553559,8648,11.00,170.49
wg_enforce_cache,8,10,10.00,10989862912,8790648211,9713,13.33,160.54
wg_baseline,16,1,10.00,10641604608,8511803484,15724,14.03,172.24
wg_baseline,16,2,10.00,10655891456,8523314489,13989,11.49,175.48
wg_baseline,16,3,10.00,10604380160,8482016382,13701,14.08,173.16
wg_baseline,16,4,10.00,10634526720,8506019692,13733,14.36,175.76
wg_baseline,16,5,10.00,10634133504,8505822537,15094,8.62,176.29
wg_baseline,16,6,10.00,10614210560,8489767278,14887,14.12,174.47
wg_baseline,16,7,10.00,10618798080,8493441697,13989,14.19,175.65
wg_baseline,16,8,10.00,10619191296,8493737528,16460,14.39,175.04
wg_baseline,16,9,10.00,10614079488,8489852577,13756,9.76,177.92
wg_baseline,16,10,10.00,10590748672,8471157147,12084,13.80,176.95
wg_nftables,16,1,10.00,9568911360,7653879975,22451,11.84,85.70
wg_nftables,16,2,10.00,9566027776,7652271257,23591,11.92,84.97
wg_nftables,16,3,10.00,9578086400,7661010464,22108,13.02,84.98
wg_nftables,16,4,10.00,9558032384,7645077316,23561,9.29,84.56
wg_nftables,16,5,10.00,9588572160,7669539334,22690,10.64,84.75
wg_nftables,16,6,10.00,9576513536,7659863459,24720,13.12,84.88
wg_nftables,16,7,10.00,9556590592,7644599749,22365,9.27,84.96
wg_nftables,16,8,10.00,9597878272,7677427391,23350,11.50,84.91
wg_nftables,16,9,10.00,9586343936,7668191006,22107,11.92,85.64
wg_nftables,16,10,10.00,9603645440,7682069020,24037,11.68,86.53
wg_tag_only,16,1,10.00,10513154048,8409013820,14070,12.32,176.36
wg_tag_only,16,2,10.00,10529800192,8422277821,13005,10.97,176.95
wg_tag_only,16,3,10.00,10549592064,8438094884,14233,9.64,176.78
wg_tag_only,16,4,10.00,10553262080,8440932451,14882,12.52,176.21
wg_tag_only,16,5,10.00,10565451776,8450855478,12759,13.87,176.39
wg_tag_only,16,6,10.00,10571087872,8455355098,12848,14.02,177.64
wg_tag_only,16,7,10.00,10536878080,8427909589,13070,9.70,177.62
wg_tag_only,16,8,10.00,10556538880,8443775397,14078,9.52,178.80
wg_tag_only,16,9,10.00,10574364672,8457958310,10454,13.82,179.11
wg_tag_only,16,10,10.00,10558767104,8445565269,15082,11.12,176.96
wg_enforce_nocache,16,1,10.00,10342760448,8273184138,13409,13.42,175.48
wg_enforce_nocache,16,2,10.00,10345775104,8275823121,11326,10.75,175.63
wg_enforce_nocache,16,3,10.00,10373431296,8297250702,14402,10.74,174.33
wg_enforce_nocache,16,4,10.00,10394140672,8313786126,14072,12.13,170.99
wg_enforce_nocache,16,5,10.00,10552737792,8440648971,16391,11.01,165.33
wg_enforce_nocache,16,6,10.00,10361896960,8288006664,13541,10.75,172.84
wg_enforce_nocache,16,7,10.00,10392698880,8312721834,12172,10.95,175.03
wg_enforce_nocache,16,8,10.00,10324148224,8257812354,14336,10.79,176.18
wg_enforce_nocache,16,9,10.00,10307633152,8244656287,11452,16.16,176.38
wg_enforce_nocache,16,10,10.00,10343022592,8272889244,12276,13.33,176.10
wg_enforce_cache,16,1,10.00,10314842112,8250568450,13801,9.37,168.66
wg_enforce_cache,16,2,10.00,10293739520,8233553214,12694,11.56,173.74
wg_enforce_cache,16,3,10.00,10329784320,8262361713,13647,12.01,172.01
wg_enforce_cache,16,4,10.00,10539630592,8430070726,14082,13.77,164.43
wg_enforce_cache,16,5,10.00,10316546048,8251773799,13632,13.47,172.80
wg_enforce_cache,16,6,10.00,10307764224,8244747936,14049,10.81,173.06
wg_enforce_cache,16,7,10.00,10308157440,8245000627,12793,12.09,172.36
wg_enforce_cache,16,8,10.00,10328342528,8261039163,14440,8.43,175.09
wg_enforce_cache,16,9,10.00,10255073280,8203082457,10784,10.72,174.08
wg_enforce_cache,16,10,10.00,10270408704,8214846648,13382,12.19,174.95
